coral_id,bommie,density,density_continuous,exposure,vertical_height_change_prop,survivorship
164,14,Low,1,exposed,-1,0
165,20,High,8,exposed,-1,0
167,20,High,8,exposed,-1,0
168,23,Mid,4,exposed,-0.946666667,1
169,6,High,8,exposed,-0.878378378,1
170,8,Mid,4,exposed,-1,0
171,5,Mid,4,exposed,-0.907894737,1
172,7,Low,1,exposed,-0.928571429,1
173,9,High,8,exposed,-0.887323944,1
174,16,Low,1,exposed,-1,0
175,9,High,8,exposed,-0.945454545,1
176,5,Mid,4,exposed,-0.925373134,1
177,3,Mid,4,exposed,-1,0
179,27,Low,1,exposed,-0.925925926,1
180,20,High,8,exposed,-0.923076923,1
181,5,Mid,4,exposed,-0.256756757,1
184,15,Mid,4,exposed,-1,0
185,26,Low,1,exposed,-1,0
186,17,High,8,exposed,-1,0
187,18,Low,1,exposed,-1,0
189,19,Mid,4,exposed,-0.911764706,1
191,12,High,8,exposed,-1,0
192,17,High,8,exposed,-0.957746479,0
194,4,Low,1,exposed,-0.887323944,1
195,6,High,8,exposed,-1,0
196,17,High,8,exposed,-0.947368421,1
197,8,Mid,4,exposed,-0.333333333,1
198,2,High,8,exposed,-0.9,1
199,24,High,8,exposed,-0.371428571,1
200,12,High,8,exposed,-0.882352941,1
201,15,Mid,4,exposed,-0.861111111,1
203,17,High,8,exposed,-1,0
204,9,High,8,exposed,-1,0
205,12,High,8,exposed,-0.972222222,0
207,3,Mid,4,exposed,-0.915492958,1
208,9,High,8,exposed,-0.853333333,1
209,21,Mid,4,exposed,-0.927536232,1
210,9,High,8,exposed,-0.932432432,1
211,3,Mid,4,exposed,-1,0
213,23,Mid,4,exposed,-0.954545455,0
215,24,High,8,exposed,-1,0
216,15,Mid,4,exposed,-1,0
217,9,High,8,exposed,-1,0
218,13,High,8,exposed,-0.893939394,1
219,17,High,8,exposed,-1,0
220,21,Mid,4,exposed,-1,0
221,23,Mid,4,exposed,-0.934210526,1
223,13,High,8,exposed,-1,0
225,20,High,8,exposed,-1,0
226,2,High,8,exposed,-0.428571429,1
227,10,Mid,4,exposed,-0.718309859,1
228,19,Mid,4,exposed,-0.942028986,1
